1.象声和感叹词,
******,
2.人名,
妈妈,ma1ma 
爸爸,ba4ba
奶奶,nai3nai
姥姥,lao3lao
爷爷,ye2ye
姥爷,lao3ye
宝宝,bao3bao
阿姨,a1yi2
姑姑,gu1gu
叔叔,shu1shu1
伯伯,bo2bo
舅舅,jiu4jiu
姐姐,jie3jie
妹妹,mei4mei
哥哥,ge1ge
弟弟,di4di
大妈,da4ma1
人,ren2
孩子,hai2zi
小孩,xiao3hai2 xiao3hair
小朋友,xiao3peng2you
女孩,nv3hai2
男孩,nan2hai2
男人,nan2ren
老师,lao3shi1
警察,jing3cha2
医生,yi1sheng1 yisheng
大夫,dai4fu
唐老鸭,tang2lao3ya1
米老鼠,mi3lao3shu3
孙悟空,sun1wu3kong1 sun1wu4kong1
猪八戒,zhu1ba1jie4
******,
3.游戏和常做的事,
******,
4.动词,
抱,bao4
拿,na2
来,lai2
走,zou3
坐,zuo4
站,zhan4
蹲,dun1
尿,niao4
上,shang4
下,xia4
喝,he1
吃,chi1
喂,wei4
爬,pa2
要,yao4
有,you3
睡觉,shui4jiao4
盖上,gai4shang
玩,wan2 wanr2
开,kai1
开门,kai1men2
关,guan1
画画,hua4hua4
打,da3
背,bei1
戴,dai4
洗,xi3
擦,ca1
亲,qin1
飞,fei1
亮,liang4
打开,da3kai1
起来,qi3lai2
剥,bo1 bao1
叫,jiao4
看,kan4
跑,pao3
跳,tiao4
踢,ti1
倒,dao3 dao4
买,mai3
摸,mo1
穿,chuan1
给,gei3
送,song4
掉,diao4
哭,ku1
笑,xiao4
拍,pai1
会,hui4
写,xie3
躺,tang3
趴,pa1
骑,qi2
开车,kai1che1
蹦,beng4
扫,sao3
扫地,sao3di4
去,qu4
放,fang4
咬,yao3
扔,reng1
吐,tu4
说,shuo1
吹,chui1
追,zhui1
摔,shuai1
是,shi4
想,xiang3
知道,zhi1dao4
梳,shu1
刷,shua1
唱,chang4
听,ting1
听见,ting1jian4
扎,zha1
推,tui1
捡,jian3
找,zhao3
倒,dao3
进去,jin4qu4
出去,chu1qu4
过,guo4
回来,hui2lai
踩,cai3
藏,cang2
拉,la1
拽,zhuai4
讲,jiang3
握,wo4
握手,wo4shou3
敲,qiao1
闭,bi4
闭眼,bi4yan3
闭嘴,bi4zui3
丢,diu1
