,pinyin,word,total,init,final,iso,other,double,conflict_d,marker_before,marker_after,marker_total,p_init,p_final,p_iso,p_repl,p_marker,img_mean,img_norm,AoA stage,AoA class,AoA vote,class
0,che1,['³µ'],1371,97,540,52,682,110,[],159,0,159,0.07075127644055434,0.3938730853391685,0.03792851932895697,0.08023340627279359,0.11597374179431072,5.3,-0.10632829556554795,1.25,1,1,0
1,ma1ma,['ÂèÂè'],1295,457,119,191,528,0,[],16,0,16,0.3528957528957529,0.0918918918918919,0.14749034749034748,0.0,0.012355212355212355,5.75,0.2111299320037623,1.05,1,1,0
2,hua4,['»­'],1199,205,306,12,676,15,['»­»­'],45,0,45,0.17097581317764804,0.25521267723102586,0.010008340283569641,0.012510425354462052,0.03753127606338615,4.95,-0.36832376385168886,1.75,2,1,0
3,a1yi2,['°¢ÒÌ'],1169,331,138,74,626,0,[],49,0,49,0.2831479897348161,0.11804961505560307,0.06330196749358426,0.0,0.041916167664670656,4.25,-0.9661217217654972,1.35,1,1,0
4,ba4ba,['°Ö°Ö'],601,165,68,103,265,0,[],13,0,13,0.27454242928452577,0.11314475873544093,0.1713810316139767,0.0,0.021630615640599003,5.6,0.11458094161362771,1.05,1,1,0
5,jia1,"['¼Ð', '¼Ò']",488,27,91,14,356,41,[],3,0,3,0.055327868852459015,0.1864754098360656,0.028688524590163935,0.08401639344262295,0.006147540983606557,4.15,-1.020191020215236,1.3,1,1,0
6,ge1,"['¸é', '¸è']",470,154,69,11,236,226,['¸ç¸ç'],24,0,24,0.3276595744680851,0.14680851063829786,0.023404255319148935,0.4808510638297872,0.05106382978723404,4.05,-1.1676376193718059,1.7,2,1,0
7,shou3,['ÊÖ'],462,36,136,11,279,3,[],47,0,47,0.07792207792207792,0.2943722943722944,0.023809523809523808,0.006493506493506494,0.10173160173160173,6.4,0.6757269796875234,1.05,1,1,0
8,fan4,['·¹'],414,11,97,2,304,30,[],11,0,11,0.026570048309178744,0.23429951690821257,0.004830917874396135,0.07246376811594203,0.026570048309178744,5.3,-0.12388219964651663,1.05,1,1,0
9,bao3bao,['±¦±¦'],365,137,75,50,103,0,[],16,0,16,0.37534246575342467,0.2054794520547945,0.136986301369863,0.0,0.043835616438356165,4.95,-0.45938079495817263,1.15,1,1,0
10,ren2,['ÈË'],351,37,87,16,211,2,[],33,0,33,0.10541310541310542,0.24786324786324787,0.045584045584045586,0.005698005698005698,0.09401709401709402,4.7,-0.5998177987280131,1.45,1,1,0
11,qiu2,['Çò'],333,26,135,39,133,142,[],25,0,25,0.07807807807807808,0.40540540540540543,0.11711711711711711,0.4264264264264264,0.07507507507507508,5.3,-0.05428247350627711,1.3,1,1,0
12,bi3,['±Ê'],310,29,100,16,165,28,[],65,0,65,0.0935483870967742,0.3225806451612903,0.05161290322580645,0.09032258064516129,0.20967741935483872,5.4,-0.08533219510984284,1.6,2,1,0
13,shui3,"['Ë®', 'Ë®']",297,14,109,7,167,3,[],48,0,48,0.04713804713804714,0.367003367003367,0.02356902356902357,0.010101010101010102,0.16161616161616163,5.65,0.12608046163196981,1.1,1,1,0
14,nai3nai,['ÄÌÄÌ'],296,75,41,53,127,0,[],19,0,19,0.2533783783783784,0.13851351351351351,0.17905405405405406,0.0,0.06418918918918919,5.5,0.037999336845777686,1.05,1,1,0
15,hai2zi,['º¢×Ó'],223,7,87,1,128,0,[],45,0,45,0.03139013452914798,0.3901345291479821,0.004484304932735426,0.0,0.20179372197309417,4.4,-0.8373914222743674,2.15,3,2,0
16,huo3che1,['»ð³µ'],219,31,66,24,98,0,[],10,0,10,0.1415525114155251,0.3013698630136986,0.1095890410958904,0.0,0.045662100456621,6.0,0.3904425697314221,2.05,2,2,0
17,ge1ge,['¸ç¸ç'],198,39,38,13,108,0,[],11,0,11,0.19696969696969696,0.1919191919191919,0.06565656565656566,0.0,0.05555555555555555,4.6,-0.6164921820750761,1.25,1,1,0
18,zui3,['×ì'],189,8,76,6,99,1,[],12,0,12,0.042328042328042326,0.4021164021164021,0.031746031746031744,0.005291005291005291,0.06349206349206349,5.65,0.10618267290755105,1.1,1,1,0
19,xie2,['Ð¬'],181,13,70,18,80,11,[],16,0,16,0.0718232044198895,0.3867403314917127,0.09944751381215469,0.06077348066298342,0.08839779005524862,5.7,0.19591219397611953,1.55,2,1,0
20,ye2ye,['Ò¯Ò¯'],178,39,33,18,88,0,[],5,0,5,0.21910112359550563,0.1853932584269663,0.10112359550561797,0.0,0.028089887640449437,5.5,0.04731597197276914,1.05,1,1,0
21,yu2,"['Óã', 'Óã']",170,16,71,15,68,10,[],9,0,9,0.09411764705882353,0.4176470588235294,0.08823529411764706,0.058823529411764705,0.052941176470588235,5.7,0.20130424984519454,1.45,1,1,0
22,zhi3,['Ö½'],161,27,18,1,115,8,[],15,0,15,0.16770186335403728,0.11180124223602485,0.006211180124223602,0.049689440993788817,0.09316770186335403,5.3,-0.10873493531039347,1.7,2,2,0
23,tang2,['ÌÇ'],160,13,68,15,64,1,[],26,0,26,0.08125,0.425,0.09375,0.00625,0.1625,5.2,-0.2009895179688998,1.4,1,1,0
24,bao1,"['°þ', '°ü']",158,29,42,11,76,72,[],9,0,9,0.18354430379746836,0.26582278481012656,0.06962025316455696,0.45569620253164556,0.056962025316455694,5.0,-0.3409995036425467,1.75,2,2,0
25,fei1ji1,['·É»ú'],156,11,94,24,27,0,[],2,0,2,0.07051282051282051,0.6025641025641025,0.15384615384615385,0.0,0.01282051282051282,6.35,0.6202969990825358,1.75,2,2,0
